"Action","Action"
"Add Child Note","Add Child Note"
"Add Jadlog","Add Jadlog"
"Add Log","Add Log"
"Add Note","Add Note"
"Add Ping","Add Ping"
"Add Root Note","Add Root Note"
"Add note","Add note"
"Add","Add"
"An error occurred while trying to delete the note.","An error occurred while trying to delete the note."
"Are you sure?","Are you sure?"
"Assign product to note","Assign product to note"
"Associated products","Associated products"
"CSV","CSV"
"Can't delete root note.","Can't delete root note."
"Cannot move parent inside note","Cannot move parent inside note"
"Change status","Change status"
"City","City"
"Collapse All","Collapse All"
"Content","Content"
"Could not find jadlog to delete.","Could not find jadlog to delete."
"Could not find log to delete.","Could not find log to delete."
"Could not find note to delete.","Could not find note to delete."
"Could not find ping to delete.","Could not find ping to delete."
"Country","Country"
"Data cannot be null","Data cannot be null"
"Date of event","Date of event"
"Delete Jadlog","Delete Jadlog"
"Delete Log","Delete Log"
"Delete Note","Delete Note"
"Delete Ping","Delete Ping"
"Delete","Delete"
"Disabled","Disabled"
"Display as tree","Display as tree"
"Edit Jadlog '%s'","Edit Jadlog '%s'"
"Edit Log '%s'","Edit Log '%s'"
"Edit Note '%s'","Edit Note '%s'"
"Edit Ping '%s'","Edit Ping '%s'"
"Edit","Edit"
"Email","Email"
"Enabled","Enabled"
"Error while removing note. Details in error message.","Error while removing note. Details in error message."
"Error while saving note. Details in error message.","Error while saving note. Details in error message."
"Excel","Excel"
"Expand All","Expand All"
"Home","Home"
"ID: %s","ID: %s"
"IP Address","IP Address"
"Id","Id"
"Identifier","Identifier"
"Info","Info"
"Jadlog was successfully deleted.","Jadlog was successfully deleted."
"Jadlog was successfully saved","Jadlog was successfully saved"
"Jadlog","Jadlog"
"Jadlogs","Jadlogs"
"List","List"
"Log was successfully deleted.","Log was successfully deleted."
"Log was successfully saved","Log was successfully saved"
"Log","Log"
"Logs","Logs"
"Manage Notes","Manage Notes"
"Meta information","Meta information"
"Meta","Meta"
"Meta-description","Meta-description"
"Meta-keywords","Meta-keywords"
"Meta-title","Meta-title"
"Move note in tree","Move note in tree"
"New Note","New Note"
"New Root Note","New Root Note"
"No","No"
"None","None"
"Note API","Note API"
"Note move error","Note move error"
"Note move operation is not possible: parent note is equal to child note.","Note move operation is not possible: parent note is equal to child note."
"Note move operation is not possible: the current note was not found.","Note move operation is not possible: the current note was not found."
"Note move operation is not possible: the new parent note was not found.","Note move operation is not possible: the new parent note was not found."
"Note not moved. Details in error message.","Note not moved. Details in error message."
"Note was successfully deleted.","Note was successfully deleted."
"Note was successfully saved","Note was successfully saved"
"Note","Note"
"Notes","Notes"
"Order ID Jadlog","Order ID Jadlog"
"Order ID Magento","Order ID Magento"
"Ping was successfully deleted.","Ping was successfully deleted."
"Ping was successfully saved","Ping was successfully saved"
"Ping","Ping"
"Pings","Pings"
"Please select jadlogs to delete.","Please select jadlogs to delete."
"Please select jadlogs.","Please select jadlogs."
"Please select logs to delete.","Please select logs to delete."
"Please select logs.","Please select logs."
"Please select notes to delete.","Please select notes to delete."
"Please select notes.","Please select notes."
"Please select pings to delete.","Please select pings to delete."
"Please select pings.","Please select pings."
"Position","Position"
"Product does not exist.","Product does not exist."
"Provided data is invalid.","Provided data is invalid."
"Relative to Website Base URL","Relative to Website Base URL"
"Remove note","Remove note"
"Remove product from note","Remove product from note"
"Remove","Remove"
"Requested note does not exist.","Requested note does not exist."
"Retrieve list of notes","Retrieve list of notes"
"Retrieve note info","Retrieve note info"
"Retrieve one level of  notes","Retrieve one level of  notes"
"Root","Root"
"Save And Continue Edit","Save And Continue Edit"
"Save Jadlog","Save Jadlog"
"Save Log","Save Log"
"Save Note","Save Note"
"Save Ping","Save Ping"
"Show in rss","Show in rss"
"Status","Status"
"Store views","Store views"
"The URL key cannot consist only of numbers.","The URL key cannot consist only of numbers."
"The URL key contains capital letters or disallowed symbols.","The URL key contains capital letters or disallowed symbols."
"The note has been saved.","The note has been saved."
"There was a problem saving the jadlog.","There was a problem saving the jadlog."
"There was a problem saving the log.","There was a problem saving the log."
"There was a problem saving the note.","There was a problem saving the note."
"There was a problem saving the ping.","There was a problem saving the ping."
"There was an error deleteing jadlog.","There was an error deleteing jadlog."
"There was an error deleteing jadlogs.","There was an error deleteing jadlogs."
"There was an error deleteing log.","There was an error deleteing log."
"There was an error deleteing logs.","There was an error deleteing logs."
"There was an error deleteing note.","There was an error deleteing note."
"There was an error deleteing notes.","There was an error deleteing notes."
"There was an error deleteing ping.","There was an error deleteing ping."
"There was an error deleteing pings.","There was an error deleteing pings."
"There was an error updating jadlogs.","There was an error updating jadlogs."
"There was an error updating logs.","There was an error updating logs."
"There was an error updating notes.","There was an error updating notes."
"There was an error updating pings.","There was an error updating pings."
"This jadlog no longer exists.","This jadlog no longer exists."
"This log no longer exists.","This log no longer exists."
"This note no longer exists.","This note no longer exists."
"This ping no longer exists.","This ping no longer exists."
"Title","Title"
"Total of %d jadlogs were successfully deleted.","Total of %d jadlogs were successfully deleted."
"Total of %d jadlogs were successfully updated.","Total of %d jadlogs were successfully updated."
"Total of %d logs were successfully deleted.","Total of %d logs were successfully deleted."
"Total of %d logs were successfully updated.","Total of %d logs were successfully updated."
"Total of %d notes were successfully deleted.","Total of %d notes were successfully deleted."
"Total of %d notes were successfully updated.","Total of %d notes were successfully updated."
"Total of %d pings were successfully deleted.","Total of %d pings were successfully deleted."
"Total of %d pings were successfully updated.","Total of %d pings were successfully updated."
"URL key already exists.","URL key already exists."
"URL key","URL key"
"Unable to find jadlog to save.","Unable to find jadlog to save."
"Unable to find log to save.","Unable to find log to save."
"Unable to find note to save.","Unable to find note to save."
"Unable to find ping to save.","Unable to find ping to save."
"Update note","Update note"
"Update","Update"
"Userid","Userid"
"Username","Username"
"Warning","Warning"
"XML","XML"
"Yes","Yes"
"Este serviço não é aceito nesse pais. (%s) http://www.correios.com.br/produtosaz/complementos/pdf/anexo_10_fichario_de_paises.pdf","This service is not accepted in this country. (%s) http://www.correios.com.br/produtosaz/complementos/pdf/anexo_10_fichario_de_paises.pdf"
"'Erro Webservice: ","'Erro Webservice: "
"Excedeu o limite de valor: %s < %s | %s > %s","Exceeded the value: %s < %s | %s > %s"
"CEP de origem inválido.","CEP home Invalid."
"Lojista: O peso do produto deverá ser maior que zero. Se você está usando a media de peso como gramas, o peso mínimo é de 10 gramas.","Shopkeeper: The weight of the product should be greater than zero. If you are using media as grams of weight, the minimum weight is 10 grams."
"Dimensões dos produtos fora do permitido.","Dimensions of the product outside the permitted."
"O parâmetro (%s) para envio ao Webservice está como vazio. Favor efetuar a correção.","The parameter (%s) to send to the webservice is as empty. Please make the correction."
"Não houve retorno ou retorno é vazio no acesso. %s","There was no return or return is void in access. %s"
"O método (%s) retornou o seguinte erro: %s","The method (%s) returned the following error: %s"
"O peso informado é superior ao peso máximo permitido neste país !","The reported weight exceeds the maximum weight allowed in this country!"
"O País não aceita este serviço !","The country does not accept this service!"
